lable	text
0	@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D
0	Morning twitterati...... Large coffee and a bath on top of todays list, first appt 10am then loads of desk work. 
0	@edibow haha, I have snot power too......1 week and counting! 
0	Sick, i guess no FTSK show tonight. 
0	@enoch111 Whoops. I got a little too happy. Doesn't work. Takes me to Cisco's page.  Shoot.
0	I think there's a problem with the ISP in this area or something...my connection go too slow to do anything online yesterday &amp; today 
0	love my boyfriend but so tired of explaining to people why he's never out with me. 
0	@Catloverr I can't...too bored 
0	@stephhie101 i know !  i'm soo sad 
0	Lizzzzz is da best. So not ready for my license test 
0	@heather2711 Good thing I didn't find any then  None of the ones I like come in my size. Stupid big feet 
0	@Natalia_Bella not much to buy now Woolworth closed down 
0	i think elenor is sick or incapable of swimming properly,she is lying in the bottom of her tank, petco 
0	One of the machines took my money!!! 
0	@toughcity no i have 2-3 more days of photoshoots..and it wasnt glitches, it was fucking disasters 
0	Back to school tomorow 
0	the farewell party for the graduating class of 2009 has been postponed 
0	@SandySAikman the whole thing- this response from you never got to my phone aND I AM SET UP ON MOBILE. 
0	oh man, it has been days since ive been on here! im a lazy bum. OH! the weather here SUCKS! it was so warm and now it is freezing again! 
0	@Karilo13 lame  oh well, i wouldnt be surprised if you could find it online...each one is between 1-2min long
0	@scottcabal I'm working in the the evening  but could do daytime for sure. COFFEEEEEE
0	long distance.. 
0	ewww... i feel sick... too much junk food 
0	;; argh....why can't i fall asleep? 
0	Ugh this guy stinks of cigarettes my throat is actually burning :S 
0	Oh epic work fail. Also KAs still need to be incinerated and doctors suck 
0	@brykins awww close but no cigar ay? Well I shall have to try harder. Why can't I see your picture? 
0	@RealHughJackman I found the ending a little sad, because your character forgot about his love interest. 
0	i know i should be happy about the five that did get in but the one that didn't was one of my favourites of the collection 
0	I'm home from the club! Tired but needinghim to lay with me! 
0	I lot DT by less then 15 points again   at least the saints area still cruising along...
0	Today is jus gonna be a bad day, i can feel it...jus take a look at this miserable weather 
0	Getting ready to Clean 
0	@JohnLloydTaylor Wish I could go to Australia someday! Even though I probably will never  Well...California FIRST
0	I'm simply here at the hotel room. Pretty bored. My best friend just left with her new boyfriend. I won't lie...being alone kinda sucks 
0	@jenniferrr_gee we haven't had it yet  he's 'talking to me sometime this week when he gets a break' whatever the hell that means xD
0	at work... a little bit tired... my head hurts a bit.... and i  miss my girlfriend   thinking about having a poo ;)
